timestamp,human_readable_date,value,context
1580423526676,2020-01-31 04:02:06,19.0,b'{}'
1580423524729,2020-01-31 04:02:04,-2.5727052089511287e+38,b'{}'
1580423524677,2020-01-31 04:02:04,0.0,b'{}'
1580423422711,2020-01-31 04:00:22,18.9,b'{}'
1580423420716,2020-01-31 04:00:20,0.0,b'{}'
1580423420703,2020-01-31 04:00:20,-2.5727052089511287e+38,b'{}'
1580422819573,2020-01-31 03:50:19,18.9,b'{}'
1580422817551,2020-01-31 03:50:17,0.0,b'{}'
1580422817504,2020-01-31 03:50:17,-2.5727052089511287e+38,b'{}'
1580421619984,2020-01-31 03:30:19,18.9,b'{}'
1580421619069,2020-01-31 03:30:19,0.0,b'{}'
1580421617984,2020-01-31 03:30:17,-2.5727052089511287e+38,b'{}'
1580421018805,2020-01-31 03:20:18,18.9,b'{}'
1580421016757,2020-01-31 03:20:16,0.0,b'{}'
1580421016746,2020-01-31 03:20:16,-2.5727052089511287e+38,b'{}'
1580419928006,2020-01-31 03:02:08,18.9,b'{}'
1580419925971,2020-01-31 03:02:05,0.0,b'{}'
1580419818123,2020-01-31 03:00:18,18.3,b'{}'
1580419816130,2020-01-31 03:00:16,0.0,b'{}'
1580419816122,2020-01-31 03:00:16,-2.5727052089511287e+38,b'{}'
1580419221823,2020-01-31 02:50:21,18.3,b'{}'
1580419219870,2020-01-31 02:50:19,0.0,b'{}'
1580419219836,2020-01-31 02:50:19,-2.5727052089511287e+38,b'{}'
1580418625390,2020-01-31 02:40:25,18.3,b'{}'
1580418623398,2020-01-31 02:40:23,0.0,b'{}'
1580418623384,2020-01-31 02:40:23,-2.5727052089511287e+38,b'{}'
1580418030476,2020-01-31 02:30:30,18.3,b'{}'
1580418028626,2020-01-31 02:30:28,-2.5727052089511287e+38,b'{}'
1580418028439,2020-01-31 02:30:28,0.0,b'{}'
1580417419402,2020-01-31 02:20:19,18.3,b'{}'
1580417417547,2020-01-31 02:20:17,0.0,b'{}'
1580417417530,2020-01-31 02:20:17,-2.5727052089511287e+38,b'{}'
1580416821456,2020-01-31 02:10:21,18.3,b'{}'
1580416819458,2020-01-31 02:10:19,0.0,b'{}'
1580416819434,2020-01-31 02:10:19,-2.5727052089511287e+38,b'{}'
1580416222734,2020-01-31 02:00:22,18.3,b'{}'
1580416220783,2020-01-31 02:00:20,0.0,b'{}'
1580416220772,2020-01-31 02:00:20,-2.5727052089511287e+38,b'{}'
1580415939196,2020-01-31 01:55:39,18.3,b'{}'
1580415937157,2020-01-31 01:55:37,0.0,b'{}'
1580415937151,2020-01-31 01:55:37,-2.5727052089511287e+38,b'{}'
1580415835336,2020-01-31 01:53:55,18.3,b'{}'
1580415833325,2020-01-31 01:53:53,-2.5727052089511287e+38,b'{}'
1580415833312,2020-01-31 01:53:53,0.0,b'{}'
1580415732735,2020-01-31 01:52:12,18.3,b'{}'
1580415730545,2020-01-31 01:52:10,-2.5727052089511287e+38,b'{}'
1580415730536,2020-01-31 01:52:10,0.0,b'{}'
1580414514731,2020-01-31 01:31:54,18.4,b'{}'
1580414512714,2020-01-31 01:31:52,-2.5727052089511287e+38,b'{}'
1580414512671,2020-01-31 01:31:52,0.0,b'{}'
1580414414062,2020-01-31 01:30:14,18.6,b'{}'
1580414412129,2020-01-31 01:30:12,0.0,b'{}'
1580414412114,2020-01-31 01:30:12,-2.5727052089511287e+38,b'{}'
1580412628172,2020-01-31 01:00:28,18.6,b'{}'
1580412626232,2020-01-31 01:00:26,-2.5727052089511287e+38,b'{}'
1580412626141,2020-01-31 01:00:26,0.0,b'{}'
1580412029638,2020-01-31 00:50:29,18.6,b'{}'
1580412027133,2020-01-31 00:50:27,-2.5727052089511287e+38,b'{}'
1580410816433,2020-01-31 00:30:16,18.6,b'{}'
1580410814330,2020-01-31 00:30:14,0.0,b'{}'
1580410814295,2020-01-31 00:30:14,-2.5727052089511287e+38,b'{}'
1580410215246,2020-01-31 00:20:15,18.6,b'{}'
1580410213291,2020-01-31 00:20:13,0.0,b'{}'
1580410213239,2020-01-31 00:20:13,-2.5727052089511287e+38,b'{}'
1580409616674,2020-01-31 00:10:16,18.6,b'{}'
1580409614611,2020-01-31 00:10:14,-2.5727052089511287e+38,b'{}'
1580409614604,2020-01-31 00:10:14,0.0,b'{}'
1580409131293,2020-01-31 00:02:11,18.6,b'{}'
1580409129326,2020-01-31 00:02:09,0.0,b'{}'
1580409129323,2020-01-31 00:02:09,-2.5727052089511287e+38,b'{}'
1580409030595,2020-01-31 00:00:30,18.7,b'{}'
1580409029016,2020-01-31 00:00:29,-2.5727052089511287e+38,b'{}'
1580409028988,2020-01-31 00:00:28,0.0,b'{}'
1580408415008,2020-01-30 23:50:15,18.7,b'{}'
1580408413021,2020-01-30 23:50:13,-2.5727052089511287e+38,b'{}'
1580408413020,2020-01-30 23:50:13,0.0,b'{}'
1580407818225,2020-01-30 23:40:18,18.7,b'{}'
1580407816202,2020-01-30 23:40:16,-2.5727052089511287e+38,b'{}'
1580407816197,2020-01-30 23:40:16,0.0,b'{}'
1580407436025,2020-01-30 23:33:56,18.7,b'{}'
1580407434070,2020-01-30 23:33:54,0.0,b'{}'
1580407434061,2020-01-30 23:33:54,-2.5727052089511287e+38,b'{}'
1580407331974,2020-01-30 23:32:11,18.7,b'{}'
1580407330388,2020-01-30 23:32:10,0.0,b'{}'
1580407330361,2020-01-30 23:32:10,-2.5727052089511287e+38,b'{}'
1580407230685,2020-01-30 23:30:30,0.0,b'{}'
1580407228676,2020-01-30 23:30:28,-2.5727052089511287e+38,b'{}'
1580407228670,2020-01-30 23:30:28,0.0,b'{}'
1580406972286,2020-01-30 23:26:12,0.0,b'{}'
1580406970350,2020-01-30 23:26:10,-2.5727052089511287e+38,b'{}'
1580406970320,2020-01-30 23:26:10,0.0,b'{}'
1580406913628,2020-01-30 23:25:13,0.0,b'{}'
1580406911614,2020-01-30 23:25:11,-2.5727052089511287e+38,b'{}'
1580406911604,2020-01-30 23:25:11,0.0,b'{}'
1580406810519,2020-01-30 23:23:30,0.0,b'{}'
1580406808528,2020-01-30 23:23:28,0.0,b'{}'
1580406808519,2020-01-30 23:23:28,-2.5727052089511287e+38,b'{}'
1580406764099,2020-01-30 23:22:44,0.0,b'{}'
1580406762058,2020-01-30 23:22:42,0.0,b'{}'
1580406762057,2020-01-30 23:22:42,-2.5727052089511287e+38,b'{}'
1580406662310,2020-01-30 23:21:02,0.0,b'{}'
1580406660318,2020-01-30 23:21:00,-2.5727052089511287e+38,b'{}'
1580406660273,2020-01-30 23:21:00,0.0,b'{}'
1580406560676,2020-01-30 23:19:20,0.0,b'{}'
1580406558778,2020-01-30 23:19:18,-2.5727052089511287e+38,b'{}'
1580406558639,2020-01-30 23:19:18,0.0,b'{}'
1580406454135,2020-01-30 23:17:34,0.0,b'{}'
1580406452067,2020-01-30 23:17:32,-2.5727052089511287e+38,b'{}'
1580406452065,2020-01-30 23:17:32,0.0,b'{}'
1580405799343,2020-01-30 23:06:39,0.0,b'{}'
1580405796966,2020-01-30 23:06:36,0.0,b'{}'
